CPU Func 2       | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 1  | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 2  | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 3  | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 4  | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 5  | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 6  | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 7  | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 8  | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 9  | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 10 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 11 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 12 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 13 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 14 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 15 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 16 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 17 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 18 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 19 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 20 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 21 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 22 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 23 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 24 | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Core Func 25 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 26 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 27 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 28 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 29 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 30 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 31 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
CPU Core Func 32 | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
